Learning Rate, Epochs, Sampling Rate, test data fraction, max layers, max neurons, Error
0.1,1,0.1,0.1,4,64,031.1000.00.1,2,0.1,0.1,4,64,0.517109330
0.1,3,0.1,0.1,4,64,0.509930270
0.1,4,0.1,0.1,4,64,0.501016790
0.1,5,0.1,0.1,4,64,0.474980670
0.1,6,0.1,0.1,4,64,0.417124130
0.1,7,0.1,0.1,4,64,0.387208900
0.1,8,0.1,0.1,4,64,0.380096600
0.1,9,0.1,0.1,4,64,0.372137990
0.1,10,0.1,0.1,4,64,0.374049780
0.1,11,0.1,0.1,4,64,0.374596180
0.1,12,0.1,0.1,4,64,0.360002150
0.1,13,0.1,0.1,4,64,0.376825030
0.1,14,0.1,0.1,4,64,0.375121080
0.1,15,0.1,0.1,4,64,0.361505700
0.1,16,0.1,0.1,4,64,0.363173310
0.1,17,0.1,0.1,4,64,0.361658660
0.1,18,0.1,0.1,4,64,0.364677450
0.1,19,0.1,0.1,4,64,0.357266520
0.1,20,0.1,0.1,4,64,0.359282170
0.1,21,0.1,0.1,4,64,0.353399140
0.1,22,0.1,0.1,4,64,0.345112970
0.1,23,0.1,0.1,4,64,0.351487450
0.1,24,0.1,0.1,4,64,0.339972780
0.1,25,0.1,0.1,4,64,0.343830380
0.1,26,0.1,0.1,4,64,0.337807320
0.1,27,0.1,0.1,4,64,0.341836990
0.1,28,0.1,0.1,4,64,0.327289180
0.1,29,0.1,0.1,4,64,0.329070490
0.1,30,0.1,0.1,4,64,0.335409010
0.1,31,0.1,0.1,4,64,0.327515840
0.1,32,0.1,0.1,4,64,0.322752160
0.1,33,0.1,0.1,4,64,0.317129900
0.1,34,0.1,0.1,4,64,0.330760200
0.1,35,0.1,0.1,4,64,0.306970680
0.1,36,0.1,0.1,4,64,
