Learning Rate, Epochs, Sampling Rate, test data fraction, max layers, max neurons, Error
0.1,1,0.1,0.1,3,64,0.278781000
0.1,2,0.1,0.1,3,64,0.278781000
0.1,3,0.1,0.1,3,64,0.278781000
0.1,4,0.1,0.1,3,64,0.278781000
0.1,5,0.1,0.1,3,64,0.278781000
0.1,6,0.1,0.1,3,64,0.278781000
0.1,7,0.1,0.1,3,64,0.278781000
0.1,8,0.1,0.1,3,64,031.1000.00.1,9,0.1,0.1,3,64,031.1000.00.1,10,0.1,0.1,3,64,0.278781000
0.1,11,0.1,0.1,3,64,0.278781000
0.1,12,0.1,0.1,3,64,0.278781000
0.1,13,0.1,0.1,3,64,0.278781000
0.1,14,0.1,0.1,3,64,031.1000.00.1,15,0.1,0.1,3,64,0.278781000
0.1,16,0.1,0.1,3,64,0.278781000
0.1,17,0.1,0.1,3,64,0.278781000
0.1,18,0.1,0.1,3,64,031.1000.00.1,19,0.1,0.1,3,64,0.278781000
0.1,20,0.1,0.1,3,64,0.278781000
0.1,21,0.1,0.1,3,64,0.278781000
0.1,22,0.1,0.1,3,64,0.278781000
0.1,23,0.1,0.1,3,64,0.278781000
0.1,24,0.1,0.1,3,64,0.278781000
0.1,25,0.1,0.1,3,64,0.278781000
0.1,26,0.1,0.1,3,64,0.278781000
0.1,27,0.1,0.1,3,64,0.278781000
0.1,28,0.1,0.1,3,64,0.278781000
0.1,29,0.1,0.1,3,64,0.278781000
0.1,30,0.1,0.1,3,64,0.278781000
0.1,31,0.1,0.1,3,64,0.278781000
0.1,32,0.1,0.1,3,64,031.1000.00.1,33,0.1,0.1,3,64,0.278781000
0.1,34,0.1,0.1,3,64,0.278781000
0.1,35,0.1,0.1,3,64,031.1000.00.1,36,0.1,0.1,3,64,0.278781000
0.1,37,0.1,0.1,3,64,0.279069000
0.1,38,0.1,0.1,3,64,031.1000.00.1,39,0.1,0.1,3,64,0.278781000
0.1,40,0.1,0.1,3,64,0.278909000
0.1,41,0.1,0.1,3,64,0.278781000
0.1,42,0.1,0.1,3,64,0.278781000
0.1,43,0.1,0.1,3,64,031.1000.00.1,44,0.1,0.1,3,64,031.1000.00.1,45,0.1,0.1,3,64,0.278781000
0.1,46,0.1,0.1,3,64,0.278781000
0.1,47,0.1,0.1,3,64,031.1000.00.1,48,0.1,0.1,3,64,0.278785000
0.1,49,0.1,0.1,3,64,0.278781000
0.1,50,0.1,0.1,3,64,0.278781000
0.1,51,0.1,0.1,3,64,0.278781000
0.1,52,0.1,0.1,3,64,031.1000.00.1,53,0.1,0.1,3,64,031.1000.00.1,54,0.1,0.1,3,64,0.278807000
0.1,55,0.1,0.1,3,64,031.1000.00.1,56,0.1,0.1,3,64,0.280345000
0.1,57,0.1,0.1,3,64,0.278781000
0.1,58,0.1,0.1,3,64,0.278781000
0.1,59,0.1,0.1,3,64,0.275859000
0.1,60,0.1,0.1,3,64,031.1000.00.1,61,0.1,0.1,3,64,0.279503000
0.1,62,0.1,0.1,3,64,031.1000.00.1,63,0.1,0.1,3,64,0.278781000
0.1,64,0.1,0.1,3,64,0.276427000
0.1,65,0.1,0.1,3,64,0.278781000
0.1,66,0.1,0.1,3,64,031.1000.00.1,67,0.1,0.1,3,64,0.279386000
0.1,68,0.1,0.1,3,64,0.278781000
0.1,69,0.1,0.1,3,64,0.278781000
0.1,70,0.1,0.1,3,64,0.276139000
0.1,71,0.1,0.1,3,64,0.279255000
0.1,72,0.1,0.1,3,64,031.1000.00.1,73,0.1,0.1,3,64,031.1000.00.1,74,0.1,0.1,3,64,031.1000.00.1,75,0.1,0.1,3,64,031.1000.00.1,76,0.1,0.1,3,64,031.1000.00.1,77,0.1,0.1,3,64,031.1000.00.1,78,0.1,0.1,3,64,0.272304000
0.1,79,0.1,0.1,3,64,031.1000.00.1,80,0.1,0.1,3,64,0.280108000
0.1,81,0.1,0.1,3,64,031.1000.00.1,82,0.1,0.1,3,64,0.280219000
0.1,83,0.1,0.1,3,64,031.1000.00.1,84,0.1,0.1,3,64,031.1000.00.1,85,0.1,0.1,3,64,0.271958000
0.1,86,0.1,0.1,3,64,031.1000.00.1,87,0.1,0.1,3,64,0.284795000
0.1,88,0.1,0.1,3,64,031.1000.00.1,89,0.1,0.1,3,64,031.1000.00.1,90,0.1,0.1,3,64,0.278781000
0.1,91,0.1,0.1,3,64,0.254278000
0.1,92,0.1,0.1,3,64,031.1000.00.1,93,0.1,0.1,3,64,031.1000.00.1,94,0.1,0.1,3,64,0.246418000
0.1,95,0.1,0.1,3,64,031.1000.00.1,96,0.1,0.1,3,64,0.264525000
0.1,97,0.1,0.1,3,64,031.1000.00.1,98,0.1,0.1,3,64,031.1000.00.1,99,0.1,0.1,3,64,031.1000.00.1,100,0.1,0.1,3,64,0.255008000
